scientificName;redlistCategory
Macroprotodon brevis;Near Threatened
Natrix maura;Least Concern
Podarcis muralis;Least Concern
Saurodactylus mauritanicus;Least Concern
Echium handiense;Critically Endangered
Narcissus longispathus;Endangered
Echium valentinum;Endangered
Gyrocaryum oppositifolium;Critically Endangered
Brimeura duvigneaudii;Critically Endangered
Palearctic;
Helosciadium bermejoi;Critically Endangered
Antirrhinum subbaeticum;Endangered
Carum foetidum;Near Threatened
Ligusticum huteri;Critically Endangered
Helianthemum guerrae;Endangered
Naufraga balearica;Critically Endangered
Omphalodes littoralis;Least Concern
Senecio alboranicus;Critically Endangered
Jasione mansanetiana;Endangered
Diplotaxis siettiana;Critically Endangered
Arenaria bolosii;Critically Endangered
Arenaria nevadensis;Critically Endangered
Cerastium sventenii;Endangered
Moehringia fontqueri;Endangered
Silene diclinis;Endangered
Silene fernandezii;Endangered
Silene gazulensis;Critically Endangered
Silene sennenii;Endangered
Astragalus nitidiflorus;Extinct
Medicago citrina;Critically Endangered
Lithodora nitida;Endangered
Solenanthus reverchonii;Critically Endangered
Teucrium balthazaris;Near Threatened
Lysimachia minoricensis;Extinct in the Wild
Deronectes aljibensis;Endangered
Deronectes depressicollis;Vulnerable
Dussartius baeticus;Vulnerable
Echinus esculentus;Lower Risk/near threatened
Epimyrma bernardi;Vulnerable
Eriogaster catax;Data Deficient
Eunicella verrucosa;Vulnerable
Formica lugubris;Lower Risk/near threatened
Formica polyctena;Lower Risk/near threatened
Formica rufa;Lower Risk/near threatened
Graellsia isabelae;Data Deficient
Graptodytes delectus;Endangered
Xerotricha bierzona;Vulnerable
Xerotricha gasulli;Endangered
Xerotricha mariae;Data Deficient
Helicella orzai;Near Threatened
Helicella stiparum;Endangered
Helicella striatitala;Least Concern
Xerotricha zaratei;Near Threatened
Xerotricha zujarensis;Data Deficient
Hemicycla inutilis;Vulnerable
Hemicycla mascaensis;Critically Endangered
Hemicycla plicaria;Critically Endangered
Hemicycla pouchadan;Endangered
Hemicycla berkeleii;Data Deficient
Hemicycla glyceia;Near Threatened
Hemicycla saulcyi;Critically Endangered
Acilius duvergeri;Vulnerable
Acanthinula spinifera;Data Deficient
Agabus hozgargantae;Endangered
Allognathus graellsianus;Least Concern
Colletes dimidiatus;Vulnerable
Colletes hederae;Least Concern
Colletes merceti;Endangered
Colletes moricei;Vulnerable
Colletes pulchellus;Vulnerable
Colletes schmidi;Least Concern
Colletes sierrensis;Endangered
Colletes tuberculiger;Least Concern
Camptopoeum nasutum;Data Deficient
Flavipanurgus flavus;Least Concern
Flavipanurgus granadensis;Endangered
Flavipanurgus ibericus;Least Concern
Flavipanurgus merceti;Data Deficient
Flavipanurgus venustus;Least Concern
Panurginus annulatus;Data Deficient
Panurgus canescens;Least Concern
Panurgus dentipes;Least Concern
Panurgus meridionalis;Least Concern
Simpanurgus phyllopodus;Data Deficient
Ceratina gravidula;Least Concern
Dasypoda iberica;Data Deficient
Dasypoda morotei;Least Concern
Macropis europaea;Least Concern
Melitta hispanica;Vulnerable
Melitta iberica;Data Deficient
Melitta kastiliensis;Vulnerable
Melitta murciana;Data Deficient
Melitta seitzi;Data Deficient
Seladonia concinna;Least Concern
Halictus crenicornis;Data Deficient
Halictus fumatipennis;Data Deficient
Halictus jaramielicus;Data Deficient
Seladonia microcardia;Endangered
Halictus tridivisus;Data Deficient
Halictus quadripartitus;Data Deficient
Lindenia tetraphylla;Least Concern
Sympetrum sinaiticum;Least Concern
Guentherus altivela;Least Concern
Ijimaia loppei;Least Concern
Atherina boyeri;Least Concern
Atherina presbyter;Least Concern
Cenchrus ciliaris;Least Concern
Cenchrus setaceus;Least Concern
Elodea canadensis;Least Concern
Alpinia zerumbet;Data Deficient
Nerium oleander;Least Concern
Myosotis laxa;Least Concern
Spergularia marina;Least Concern
Pulicaria arabica;Least Concern
Crassula tillaea;Least Concern
Rorippa microphylla;Least Concern
Carex distans;Least Concern
Cyperus fuscus;Least Concern
Eleocharis uniglumis;Least Concern
Isolepis setacea;Least Concern
Schoenoplectus lacustris;Least Concern
Schoenus nigricans;Least Concern
Polypogon viridis;Least Concern
Juncus fontanesii;Least Concern
Juncus subulatus;Least Concern
Utricularia minor;Least Concern
Lythrum hyssopifolia;Least Concern
Ludwigia palustris;Least Concern
Persicaria amphibia;Least Concern
Potamogeton coloratus;Least Concern
Samolus valerandi;Least Concern
Ranunculus trichophyllus;Least Concern
Veronica anagalloides;Least Concern
Apium graveolens;Least Concern
Helosciadium nodiflorum;Least Concern
Berula erecta;Least Concern
Hydrocotyle ranunculoides;Least Concern
Chrozophora tinctoria;Least Concern
Stagnicola palustris;Least Concern
Alepocephalus agassizii;Least Concern
Alepocephalus australis;Least Concern
Alepocephalus bairdii;Data Deficient
Alepocephalus rostratus;Least Concern
Bajacalifornia megalops;Least Concern
Bathylaco nigricans;Least Concern
Bathyprion danae;Least Concern
Bathytroctes michaelsarsi;Least Concern
Bathytroctes microlepis;Least Concern
Photostylus pycnopterus;Least Concern
Rouleina maderensis;Least Concern
Talismania antillarum;Least Concern
Conocara macropterum;Least Concern
Einara macrolepis;Least Concern
Herwigia kreffti;Least Concern
Leptoderma macrops;Least Concern
Rinoctes nasutus;Least Concern
Rouleina attrita;Least Concern
Talismania homoptera;Least Concern
Xenodermichthys copei;Least Concern
Prospero fallax;Least Concern
Arnoglossus imperialis;Least Concern
Buglossidium luteum;Least Concern
Dicologlossa cuneata;Least Concern
Gymnammodytes cicerelus;Least Concern
Glossanodon leioglossus;Least Concern
Aulopus filamentosus;Least Concern
Bathysaurus mollis;Least Concern
Halobatrachus didactylus;Least Concern
Belone belone;Least Concern
Tylosurus acus;Least Concern
Arnoglossus laterna;Least Concern
Arnoglossus thori;Data Deficient
Bothus podas;Least Concern
Cepola macrophthalma;Least Concern
Chlorophthalmus agassizi;Least Concern
Citharus linguatula;Least Concern
Alosa alosa;Critically Endangered
Sardina pilchardus;Least Concern
Sardinella maderensis;Vulnerable
Symphurus nigrescens;Least Concern
Engraulis encrasicolus;Least Concern
Epigonus constanciae;Least Concern
Epigonus telescopus;Least Concern
Evermannella balbo;Least Concern
Cheilopogon heterurus;Least Concern
Exocoetus obtusirostris;Least Concern
Exocoetus volitans;Least Concern
Hirundichthys speculiger;Least Concern
Epigonus denticulatus;Least Concern
Bathypterois grallator;Least Concern
Coelorinchus caelorhincus;Least Concern
Coryphaenoides guentheri;Least Concern
Hymenocephalus italicus;Least Concern
Nezumia aequalis;Least Concern
Nezumia sclerorhynchus;Least Concern
Trachyrincus scabrus;Least Concern
Gadella maraldi;Least Concern
Mora moro;Least Concern
Physiculus dalwigki;Least Concern
Benthosema glaciale;Least Concern
Ceratoscopelus maderensis;Least Concern
Diaphus metopoclampus;Least Concern
Diogenichthys atlanticus;Least Concern
Electrona risso;Least Concern
Hygophum benoiti;Least Concern
Hygophum hygomii;Least Concern
Lampanyctus crocodilus;Least Concern
Lampanyctus pusillus;Least Concern
Lobianchia dofleini;Least Concern
Lobianchia gemellarii;Least Concern
Myctophum punctatum;Least Concern
Symbolophorus veranyi;Least Concern
Lestidiops sphyrenoides;Least Concern
Sudis hyalina;Data Deficient
Peristedion cataphractum;Least Concern
Scomberesox saurus;Least Concern
Pontinus kuhlii;Data Deficient
Scorpaena elongata;Least Concern
Scorpaena loppei;Least Concern
Scorpaena maderensis;Least Concern
Scorpaena notata;Least Concern
Scorpaena scrofa;Least Concern
Helicolenus dactylopterus;Least Concern
Bathysolea profundicola;Least Concern
Microchirus azevia;Data Deficient
Microchirus ocellatus;Data Deficient
Microchirus variegatus;Least Concern
Pegusa lascaris;Least Concern
Solea solea;Data Deficient
Synapturichthys kleinii;Data Deficient
Sphyraena sphyraena;Least Concern
Sphyraena viridensis;Least Concern
Chelidonichthys lucerna;Least Concern
Chelidonichthys obscurus;Least Concern
Lepidotrigla dieuzeidei;Least Concern
Trigla lyra;Least Concern
Trachyscorpia cristulata;Least Concern
Cottunculus thomsonii;Least Concern
Malacocephalus laevis;Least Concern
Lestidium atlanticum;Least Concern
Asquamiceps caeruleus;Least Concern
Gigantura indica;Least Concern
Diaphus mollis;Least Concern
Taaningichthys bathyphilus;Least Concern
Notolychnus valdiviae;Least Concern
Nannobrachium lineatum;Least Concern
Diaphus dumerilii;Data Deficient
Scopelarchus analis;Least Concern
Bolinichthys photothorax;Least Concern
Sphyraena guachancho;Least Concern
Antimora rostrata;Least Concern
Scopelosaurus lepidus;Least Concern
Bolinichthys indicus;Least Concern
Cheilopogon furcatus;Least Concern
Bolinichthys supralateralis;Least Concern
Gonichthys cocco;Least Concern
Bathysaurus ferox;Least Concern
Evermannella melanoderma;Least Concern
Odontostomops normalops;Least Concern
Bathypterois dubius;Least Concern
Ahliesaurus berryi;Least Concern
Scopelosaurus argenteus;Least Concern
Omosudis lowii;Least Concern
Lestidiops affinis;Least Concern
Macroparalepis affinis;Least Concern
Magnisudis atlantica;Least Concern
Benthalbella infans;Least Concern
Scopelarchus guentheri;Least Concern
Hemiramphus balao;Least Concern
Scomberesox simulans;Least Concern
Enchelyopus cimbrius;Least Concern
Bathygadus favosus;Least Concern
Bathygadus melanobranchus;Least Concern
Cetonurus globiceps;Least Concern
Coelorinchus labiatus;Least Concern
Coryphaenoides leptolepis;Least Concern
Coryphaenoides rupestris;Critically Endangered
Coryphaenoides zaniophorus;Least Concern
Gadomus longifilis;Least Concern
Melanonus zugmayeri;Least Concern
Merluccius polli;Least Concern
Physiculus cyanostrophus;Least Concern
Benthosema suborbitale;Least Concern
Centrobranchus nigroocellatus;Least Concern
Ceratoscopelus warmingii;Least Concern
Diaphus bertelseni;Least Concern
Diaphus brachycephalus;Least Concern
Diaphus effulgens;Least Concern
Diaphus fragilis;Least Concern
Diaphus lucidus;Least Concern
Diaphus perspicillatus;Least Concern
Diaphus splendidus;Least Concern
Diaphus subtilis;Data Deficient
Diaphus termophilus;Least Concern
Hygophum reinhardtii;Least Concern
Hygophum taaningi;Least Concern
Lampadena anomala;Data Deficient
Lampadena chavesi;Least Concern
Lampanyctus alatus;Least Concern
Lampanyctus festivus;Least Concern
Lampanyctus intricarius;Least Concern
Lepidophanes gaussi;Least Concern
Lepidophanes guentheri;Least Concern
Myctophum nitidulum;Least Concern
Myctophum selenops;Least Concern
Nannobrachium atrum;Least Concern
Nannobrachium cuprarium;Least Concern
Notoscopelus caudispinosus;Least Concern
Notoscopelus resplendens;Least Concern
Taaningichthys minimus;Least Concern
Taaningichthys paurolychnus;Least Concern
Neoscopelus macrolepidotus;Least Concern
Scopelengys tristis;Least Concern
Leptochilichthys agassizii;Least Concern
Paracaristius maderensis;Least Concern
Cynoglossus canariensis;Near Threatened
Symphurus ligulatus;Least Concern
Chelidonichthys cuculus;Least Concern
Symphurus insularis;Least Concern
Heteromycteris proboscideus;Data Deficient
Microchirus boscanion;Data Deficient
Microchirus theophila;Data Deficient
Microchirus wittei;Least Concern
Solea senegalensis;Data Deficient
Dagetichthys lusitanica;Data Deficient
Polymixia nobilis;Least Concern
Ebinania costaecanariae;Least Concern
Scorpaena laevis;Least Concern
Ectreposebastes imus;Least Concern
Setarches guentheri;Least Concern
Trigloporus lastoviza;Least Concern
Juniperus macrocarpa;Least Concern
Juniperus navicularis;Near Threatened
Gephyroberyx darwinii;Least Concern
Holocentrus adscensionis;Least Concern
Cyttopsis rosea;Least Concern
Sargocentron hastatum;Least Concern
Elagatis bipinnulata;Least Concern
Beryx splendens;Least Concern
Seriola rivoliana;Least Concern
Lepidocybium flavobrunneum;Least Concern
Gempylus serpens;Least Concern
Nealotus tripes;Least Concern
Promethichthys prometheus;Least Concern
Raja radula;Endangered
Pseudocaranx dentex;Least Concern
Ruvettus pretiosus;Least Concern
Kyphosus sectatrix;Least Concern
Lobotes surinamensis;Least Concern
Vertigo angustior;Near Threatened
Fimbristylis turkestanica;Least Concern
Centaurium erythraea;Least Concern
Centaurium pulchellum;Least Concern
Fistularia tabacaria;Least Concern
Ancylus fluviatilis;Least Concern
Selysiothemis nigra;Least Concern
Sympetrum fonscolombii;Least Concern
Cyperus esculentus;Least Concern
Sparisoma cretense;Least Concern
Vachellia farnesiana;Least Concern
Acacia longifolia;Least Concern
Aphyllanthes monspeliensis;Least Concern
Allium savii;Least Concern
Desmazeria sicula;Near Threatened
Colchicum filifolium;Least Concern
Drimia fugax;Least Concern
Arum pictum;Least Concern
Arisarum simorrhinum;Least Concern
Arisarum proboscideum;Least Concern
Gagea subtrigona;Least Concern
Trisetum glaciale;Vulnerable
Trisetaria scabriuscula;Least Concern
Trisetaria ovata;Least Concern
Trisetaria dufourei;Least Concern
Gagea lusitanica;Data Deficient
Romulea bifrons;Near Threatened
Gagea mauritanica;Near Threatened
Gagea nevadensis;Least Concern
Wangenheimia lima;Least Concern
Muscari parviflorum;Least Concern
Festuca clementei;Critically Endangered
Gagea lacaitae;Least Concern
Festuca delicatula;Least Concern
Gagea elliptica;Endangered
Gagea durieui;Least Concern
Gagea cossoniana;Least Concern
Puccinellia iberica;Least Concern
Colchicum europaeum;Near Threatened
Biarum dispar;Least Concern
Biarum mendax;Near Threatened
Helicodiceros muscivorus;Least Concern
Helictochloa levis;Endangered
Helictotrichon filifolium;Least Concern
Helictochloa crassifolia;Endangered
Prospero obtusifolium;Near Threatened
Iris serotina;Data Deficient
Periballia involucrata;Least Concern
Narduroides salzmannii;Least Concern
Serapias perez-chiscanoi;Least Concern
Narcissus obsoletus;Least Concern
Narcissus obesus;Least Concern
Narcissus serotinus;Least Concern
Narcissus gaditanus;Near Threatened
Narcissus elegans;Least Concern
Narcissus dubius;Least Concern
Narcissus cuatrecasasii;Near Threatened
Drimia maritima;Least Concern
Narcissus lusitanicus;Vulnerable
Carex olbiensis;Least Concern
Carex rorulenta;Least Concern
Narcissus albicans;Data Deficient
Carex helodes;Near Threatened
Lapiedra martinezii;Least Concern
Narcissus cantabricus;Least Concern
Agrostis barceloi;Critically Endangered
Agrostis nevadensis;Least Concern
Aira tenorei;Least Concern
Aira uniaristata;Least Concern
Anolis carolinensis;Least Concern
Gaidropsarus granti;Data Deficient
Cyperus nutans;Least Concern
Psammodromus occidentalis;Least Concern
Psammodromus hispanicus;Least Concern
Allium baeticum;Least Concern
Onychogomphus forcipatus;Least Concern
Brachytron pratense;Least Concern
Coenagrion pulchellum;Least Concern
Coenagrion scitulum;Least Concern
Erythromma viridulum;Least Concern
Ischnura pumilio;Least Concern
Pyrrhosoma nymphula;Least Concern
Gomphus vulgatissimus;Least Concern
Lestes macrostigma;Least Concern
Lestes sponsa;Least Concern
Lestes virens;Least Concern
Leucorrhinia pectoralis;Least Concern
Libellula depressa;Least Concern
Libellula fulva;Least Concern
Sympetrum meridionale;Least Concern
Sympetrum pedemontanum;Least Concern
Sympetrum vulgatum;Least Concern
Allium commutatum;Least Concern
Andrena pellucens;Data Deficient
Andrena relata;Data Deficient
Andrena rhenana;Data Deficient
Andrena sagittaria;Data Deficient
Andrena solenopalpa;Data Deficient
Andrena taxana;Data Deficient
Andrena vacella;Data Deficient
Andrena wollastoni;Least Concern
Allium scorzonerifolium;Least Concern
Aegilops geniculata;Least Concern
Aegilops neglecta;Least Concern
Aegilops speltoides;Least Concern
Aegilops triuncialis;Least Concern
Allium ampeloprasum;Least Concern
Allium schoenoprasum;Least Concern
Asparagus acutifolius;Least Concern
Asparagus aphyllus;Least Concern
Asparagus maritimus;Data Deficient
Asparagus officinalis;Least Concern
Avena fatua;Least Concern
Avena sterilis;Least Concern
Brassica barrelieri;Least Concern
Brassica fruticulosa;Least Concern
Rhamphospermum nigrum;Least Concern
Vicia ervilia;Least Concern
Vicia articulata;Least Concern
Pyrus cordata;Least Concern
Prunus webbii;Data Deficient
Prunus spinosa;Least Concern
Medicago turbinata;Least Concern
Medicago truncatula;Least Concern
Medicago soleirolii;Data Deficient
Medicago scutellata;Least Concern
Medicago sativa;Least Concern
Medicago rigidula;Least Concern
Medicago murex;Least Concern
Medicago italica;Least Concern
Medicago doliata;Least Concern
Lupinus micranthus;Least Concern
Lupinus luteus;Least Concern
Lupinus angustifolius;Least Concern
Lathyrus tingitanus;Least Concern
Lathyrus sylvestris;Least Concern
Lathyrus ochrus;Least Concern
Lathyrus latifolius;Least Concern
Lathyrus cicera;Least Concern
Lathyrus amphicarpos;Near Threatened
Hordeum secalinum;Least Concern
Hordeum murinum;Least Concern
Hordeum marinum;Least Concern
Hordeum bulbosum;Least Concern
Daucus carota;Least Concern
Spergularia media;Least Concern
Potamogeton natans;Least Concern
Stuckenia filiformis;Least Concern
Kobresia simpliciuscula;Least Concern
Carex diandra;Least Concern
Carex davalliana;Least Concern
Juncus filiformis;Least Concern
Juncus alpinoarticulatus;Least Concern
Sonchus palustris;Least Concern
Lotus maritimus;Least Concern
Lycopodiella inundata;Least Concern
Carex umbrosa;Least Concern
Angelica sylvestris;Least Concern
Pedicularis palustris;Least Concern
Euphorbia palustris;Least Concern
Salix caprea;Least Concern
Carex otrubae;Least Concern
Eriophorum vaginatum;Least Concern
Juncus minutulus;Least Concern
Eriophorum latifolium;Least Concern
Jacobaea aquatica;Least Concern
Salix cinerea;Least Concern
Galium palustre;Least Concern
Veronica serpyllifolia;Least Concern
Pinguicula lusitanica;Least Concern
Pinguicula mundi;Least Concern
Pinguicula vulgaris;Least Concern
Hylaeus alpinus;Data Deficient
Hylaeus ater;Least Concern
Hylaeus canariensis;Data Deficient
Hylaeus convergens;Data Deficient
Hylaeus crassanus;Near Threatened
Hylaeus garrulus;Data Deficient
Hylaeus hohmanni;Data Deficient
Hylaeus ibericus;Data Deficient
Hylaeus penalaris;Data Deficient
Hylaeus pictus;Data Deficient
Hylaeus pyrenaicus;Data Deficient
Hylaeus teruelus;Data Deficient
Brama brama;Least Concern
Lagocephalus lagocephalus;Least Concern
Cheilopogon exsiliens;Least Concern
Spinachia spinachia;Least Concern
Astragalus bourgaeanus;Least Concern
Astragalus sesameus;Least Concern
Coronilla valentina;Least Concern
Cytisus striatus;Least Concern
Genista pseudopilosa;Least Concern
Genista sagittalis;Least Concern
Genista tridentata;Least Concern
Hedysarum flexuosum;Near Threatened
Hippocrepis comosa;Least Concern
Lotus arabicus;Least Concern
Lotus tetragonolobus;Least Concern
Medicago secundiflora;Least Concern
Melilotus italicus;Least Concern
Onobrychis stenorhiza;Least Concern
Ononis euphrasiifolia;Least Concern
Ononis pinnata;Least Concern
Ononis tournefortii;Least Concern
Trifolium angustifolium;Least Concern
Hippocrepis valentina;Least Concern
Robinia pseudoacacia;Least Concern
Trifolium clusii;Least Concern
Trifolium obscurum;Least Concern
Trifolium pratense;Least Concern
Trifolium scabrum;Least Concern
Trifolium subterraneum;Least Concern
Vicia orobus;Least Concern
Vicia tenuifolia;Least Concern
Avena murphyi;Endangered
Ornithogalum reverchonii;Least Concern
Narcissus viridiflorus;Near Threatened
Taractes asper;Least Concern
Arctozenus risso;Least Concern
Lestidiops jayakari;Least Concern
Bellottia apoda;Least Concern
Brotulotaenia brevicauda;Least Concern
Cubiceps capensis;Least Concern
Diplospinus multistriatus;Least Concern
Hoplostethus mediterraneus;Least Concern
Howella atlantica;Least Concern
Rosenblattichthys hubbsi;Least Concern
Pistacia terebinthus;Least Concern
Coincya monensis;Least Concern
Paralepis elongata;Least Concern
Hoplitis peniculifera;Data Deficient
Hoplitis hilbera;Data Deficient
Hoplitis lithodorae;Data Deficient
Hoplitis manuelae;Data Deficient
Dioxys atlanticus;Data Deficient
Dioxys lanzarotensis;Data Deficient
Pseudoanthidium canariense;Data Deficient
Stelis ortizi;Data Deficient
Ammobates dusmeti;Critically Endangered
Epeolus alpinus;Least Concern
Epeolus cruciger;Near Threatened
Epeolus fallax;Least Concern
Epeolus flavociliatus;Data Deficient
Eucera codinai;Data Deficient
Eucera gracilipes;Near Threatened
Eucera quilisi;Data Deficient
Tetralonia hohmanni;Data Deficient
Tetralonia lanzarotensis;Data Deficient
Sphecodes atlanticus;Data Deficient
Sphecodes pseudocrassus;Data Deficient
Hoplitis albatera;Data Deficient
Hoplitis lepeletieri;Least Concern
Hoplitis ochraceicornis;Least Concern
Hoplitis ravouxi;Least Concern
Hoplitis tkalcuella;Data Deficient
Hoplitis villosa;Least Concern
Hoplitis zandeni;Data Deficient
Osmia alticola;Least Concern
Osmia balearica;Data Deficient
Osmia dusmeti;Data Deficient
Osmia iberica;Data Deficient
Osmia larochei;Data Deficient
Osmia palmae;Data Deficient
Protosmia asensioi;Data Deficient
Protosmia capitata;Data Deficient
Protosmia minutula;Data Deficient
Cynanchum acutum;Least Concern
Zannichellia peltata;Least Concern
Andrena bucephala;Data Deficient
Andrena fulva;Data Deficient
Andrena semilaevis;Data Deficient
Andrena suerinensis;Data Deficient
Zannichellia contorta;Endangered
Narcissus cavanillesii;Least Concern
Asparagus albus;Least Concern
Ophrys atlantica;Least Concern
Platanthera algeriensis;Near Threatened
Anodonta anatina;Least Concern
Anodonta cygnea;Least Concern
Opisthoproctus grimaldii;Least Concern
Opisthoproctus soleatus;Least Concern
Barbantus curvifrons;Least Concern
Avena strigosa;Data Deficient
Elymus elongatus;Least Concern
Elymus hispidus;Least Concern
Elymus farctus;Least Concern
Hoplitis loti;Least Concern
Apteromantis aptera;Least Concern
Holtbyrnia anomala;Least Concern
Nomada ariasi;Data Deficient
Nomada armata;Near Threatened
Nomada barcelonensis;Data Deficient
Nomada bluethgeni;Least Concern
Nomada bolivari;Data Deficient
Nomada concolor;Least Concern
Nomada coronata;Least Concern
Nomada discedens;Least Concern
Nomada fabriciana;Least Concern
Nomada hispanica;Data Deficient
Nomada illustris;Data Deficient
Nomada lamellata;Data Deficient
Nomada melathoracica;Least Concern
Nomada orbitalis;Data Deficient
Nomada piccioliana;Least Concern
Nomada rubricoxa;Data Deficient
Nomada signata;Least Concern
Nomada similis;Least Concern
Melecta canariensis;Data Deficient
Melecta caroli;Data Deficient
Melecta curvispina;Data Deficient
Melecta gracilipes;Data Deficient
Thyreus hohmanni;Data Deficient
Holtbyrnia macrops;Least Concern
Maulisia mauli;Least Concern
Amegilla canifrons;Least Concern
Anthophora alluaudi;Least Concern
Anthophora andalusica;Data Deficient
Anthophora balearica;Data Deficient
Anthophora lanzarotensis;Data Deficient
Anthophora lieftincki;Data Deficient
Anthophora orotavae;Data Deficient
Anthophora porphyrea;Data Deficient
Anthophora pulverosa;Data Deficient
Anthophora punctilabris;Data Deficient
Anthophora purpuraria;Data Deficient
Anthophora senicula;Data Deficient
Anthophora thomsonii;Data Deficient
Maulisia microlepis;Least Concern
Utricularia australis;Least Concern
Normichthys operosus;Least Concern
Diplecogaster bimaculata;Least Concern
Lepadogaster purpurea;Least Concern
Opeatogenys cadenati;Data Deficient
Platytroctes apus;Least Concern
Aristostomias grimaldii;Least Concern
Aristostomias polydactylus;Least Concern
Astronesthes gemmifer;Data Deficient
Astronesthes indicus;Least Concern
Astronesthes leucopogon;Least Concern
Astronesthes macropogon;Least Concern
Astronesthes micropogon;Least Concern
Astronesthes neopogon;Least Concern
Astronesthes niger;Least Concern
Bathophilus brevis;Least Concern
Bathophilus digitatus;Least Concern
Bathophilus longipinnis;Least Concern
Bathophilus nigerrimus;Least Concern
Bathophilus pawneei;Least Concern
Bathophilus vaillanti;Least Concern
Borostomias antarcticus;Least Concern
Borostomias elucens;Least Concern
Borostomias mononema;Least Concern
Chauliodus danae;Least Concern
Chauliodus sloani;Least Concern
Chirostomias pliopterus;Least Concern
Echiostoma barbatum;Least Concern
Eustomias achirus;Least Concern
Eustomias dendriticus;Least Concern
Eustomias filifer;Least Concern
Eustomias fissibarbis;Least Concern
Eustomias macronema;Least Concern
Eustomias obscurus;Least Concern
Eustomias patulus;Data Deficient
Eustomias schmidti;Least Concern
Flagellostomias boureei;Least Concern
Grammatostomias dentatus;Least Concern
Heterophotus ophistoma;Least Concern
Idiacanthus fasciola;Least Concern
Leptostomias gladiator;Least Concern
Leptostomias haplocaulus;Least Concern
Leptostomias longibarba;Least Concern
Malacosteus niger;Least Concern
Melanostomias bartonbeani;Least Concern
Melanostomias biseriatus;Least Concern
Melanostomias macrophotus;Least Concern
Melanostomias melanopogon;Least Concern
Melanostomias tentaculatus;Least Concern
Neonesthes capensis;Least Concern
Pachystomias microdon;Least Concern
Photonectes braueri;Least Concern
Photonectes dinema;Least Concern
Photonectes leucospilus;Least Concern
Photonectes margarita;Least Concern
Photonectes mirabilis;Least Concern
Photostomias guernei;Least Concern
Rhadinesthes decimus;Least Concern
Stomias boa;Least Concern
Stomias brevibarbatus;Least Concern
Stomias longibarbatus;Least Concern
Anoplogaster cornuta;Least Concern
Barbourisia rufa;Least Concern
Beryx decadactylus;Least Concern
Bufoceratias wedli;Least Concern
Callanthias ruber;Least Concern
Callionymus lyra;Least Concern
Campogramma glaycos;Least Concern
Capros aper;Least Concern
Caulophryne polynema;Least Concern
Ceratias holboelli;Least Concern
Ceratias uranoscopus;Least Concern
Chaunax pictus;Least Concern
Chelon labrosus;Near Threatened
Cryptopsaras couesii;Least Concern
Diretmichthys parini;Least Concern
Fowlerichthys senegalensis;Least Concern
Himantolophus groenlandicus;Least Concern
Linophryne arborifera;Least Concern
Linophryne pennibarbata;Least Concern
Chelon auratus;Near Threatened
Chelon ramada;Near Threatened
Lophius budegassa;Data Deficient
Lophius piscatorius;Least Concern
Melanocetus johnsonii;Least Concern
Radiicephalus elongatus;Least Concern
Stylephorus chordatus;Least Concern
Synchiropus phaeton;Least Concern
Trachipterus trachypterus;Least Concern
Zu cristatus;Least Concern
Dicentrarchus labrax;Near Threatened
Dicentrarchus punctatus;Least Concern
Drepane africana;Least Concern
Gobius cruentatus;Least Concern
Gobius niger;Least Concern
Gobius paganellus;Least Concern
Ichthyococcus ovatus;Least Concern
Lesueurigobius friesii;Least Concern
Lesueurigobius sanzi;Least Concern
Nesiarchus nasutus;Least Concern
Pollichthys mauli;Least Concern
Vinciguerria attenuata;Least Concern
Vinciguerria nimbaria;Least Concern
Vinciguerria poweriae;Least Concern
Yarrella blackfordi;Least Concern
Argyropelecus aculeatus;Least Concern
Argyropelecus affinis;Least Concern
Argyropelecus gigas;Least Concern
Argyropelecus olfersii;Least Concern
Argyropelecus sladeni;Least Concern
Maurolicus muelleri;Least Concern
Sternoptyx diaphana;Least Concern
Sternoptyx pseudobscura;Least Concern
Valenciennellus tripunctulatus;Least Concern
Melamphaes simus;Least Concern
Poromitra crassiceps;Least Concern
Centrolophus niger;Least Concern
Chiasmodon niger;Least Concern
Dysalotus alcocki;Least Concern
Schedophilus velaini;Least Concern
Kali indica;Least Concern
Trachipterus arcticus;Least Concern
Grammicolepis brachiusculus;Least Concern
Rhinolophus euryale;Near Threatened
Rhinolophus hipposideros;Least Concern
Rhinolophus ferrumequinum;Least Concern
Rhinolophus mehelyi;Vulnerable
Pipistrellus pygmaeus;Least Concern
Plecotus macrobullaris;Least Concern
Nyctalus lasiopterus;Vulnerable
Nyctalus noctula;Least Concern
Nyctalus leisleri;Least Concern
Barbastella barbastellus;Near Threatened
Pipistrellus hesperidus;Least Concern
Rousettus aegyptiacus;Least Concern
Myotis emarginatus;Least Concern
Myotis myotis;Least Concern
Myotis mystacinus;Least Concern
Myotis blythii;Least Concern
Myotis bechsteinii;Near Threatened
Myotis capaccinii;Vulnerable
Hypsugo savii;Least Concern
Tadarida teniotis;Least Concern
Pipistrellus nathusii;Least Concern
Pipistrellus kuhlii;Least Concern
Allocyttus guineensis;Least Concern
Capreolus capreolus;Least Concern
Suncus etruscus;Least Concern
Crocidura pachyura;Least Concern
Atelerix algirus;Least Concern
Sagamichthys schnakenbecki;Least Concern
Searsia koefoedi;Least Concern
Rajella fyllae;Least Concern
Lythrum borysthenicum;Least Concern
Kosteletzkya pentacarpos;Least Concern
Epipactis palustris;Least Concern
